file,vehicle_id,accel_time_lt_30_s,accel_time_30_50_s,accel_time_50_70_s,accel_time_gt_70_s,accel_total_time_s,accel_pct_lt_30,accel_pct_30_50,accel_pct_50_70,accel_pct_gt_70,motor0_time_above_0_8_s,motor0_time_above_0_9_s,motor0_time_above_1_0_s,motor1_time_above_0_8_s,motor1_time_above_0_9_s,motor1_time_above_1_0_s,motor2_time_above_0_8_s,motor2_time_above_0_9_s,motor2_time_above_1_0_s,motor3_time_above_0_8_s,motor3_time_above_0_9_s,motor3_time_above_1_0_s,peak_accel_events,accel_clipping_time_s,accel_clipping_events
20251013133208.ulg,EL-017,150.98883800000004,60.01133,7.99809,0.0,218.99825800000002,0.6894522329944744,0.2740265175990578,0.03652124940646788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014802,0.0,0.0,0.135791,0.04813900000000001,0.00988,0.0,0.0,0.0
20251017043938.ulg,EL-017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20251017043956.ulg,EL-017,3.0026200000000003,0.0,0.0,0.0,3.0026200000000003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20251017064636.ulg,EL-017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20251009182912.ulg,EL-017,155.006749,82.994713,8.998501,0.0,246.999963,0.6275577822657407,0.3360110341393047,0.036431183594954626,0.0,0.006195,0.0,0.0,0.0,0.0,0.0,0.770791,0.333311,0.043358,0.114061,0.01736,0.007442000000000001,0.0,0.0,0.0
20251017064638.ulg,EL-017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20251017064642.ulg,EL-017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20251017064644.ulg,EL-017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20251017044638.ulg,EL-017,149.99814,51.004685,6.9945710000000005,0.0,207.997396,0.7211539321386504,0.245217901670269,0.03362816619108058,0.0,0.009911,0.006196,0.002489,0.0,0.0,0.0,0.0,0.0,0.0,0.017355,0.009911,0.006196,0.0,0.0,0.0
20250822225846.ulg,EL-018,4.998042999999999,0.0,0.0,0.0,4.998042999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
